
--- NEW ITERATION ---

CPU | FPS | Dropped | Memory (MB) | Timestamp
---
0.4 | 1 | 0 | 36.438026428222656 | 904568.0361600835
0.4 | 2 | 0 | 36.438026428222656 | 904568.0528214586
1.8 | 3 | 0 | 36.438026428222656 | 904568.0694828335
1.8 | 4 | 0 | 36.438026428222656 | 904568.0861442086
1.8 | 5 | 0 | 36.438026428222656 | 904568.1028055835
1.8 | 6 | 0 | 36.438026428222656 | 904568.1194669586
1.8 | 7 | 0 | 36.438026428222656 | 904568.1361283335
1.8 | 8 | 0 | 36.438026428222656 | 904568.1527897086
1.8 | 9 | 0 | 36.438026428222656 | 904568.1694510835
1.8 | 10 | 0 | 36.438026428222656 | 904568.1861124586
2.0 | 11 | 0 | 36.438026428222656 | 904568.2027738335
2.0 | 12 | 0 | 36.438026428222656 | 904568.2194352085
2.0 | 13 | 0 | 36.438026428222656 | 904568.2360965835
2.0 | 14 | 0 | 36.438026428222656 | 904568.2527579585
2.0 | 15 | 0 | 36.438026428222656 | 904568.2694193335
2.0 | 16 | 0 | 36.438026428222656 | 904568.2860807085
2.0 | 17 | 0 | 36.438026428222656 | 904568.3027420836
2.1999999999999997 | 18 | 0 | 36.438026428222656 | 904568.3194034585
2.1999999999999997 | 19 | 0 | 36.438026428222656 | 904568.3360648336
2.1999999999999997 | 20 | 0 | 36.438026428222656 | 904568.3527262085
2.1999999999999997 | 21 | 0 | 36.438026428222656 | 904568.3693875836
2.1999999999999997 | 22 | 0 | 36.438026428222656 | 904568.3860489585
2.1999999999999997 | 23 | 0 | 36.438026428222656 | 904568.4027103336
2.1999999999999997 | 24 | 0 | 36.438026428222656 | 904568.4193717085
2.1999999999999997 | 25 | 0 | 36.438026428222656 | 904568.4360330835
2.2 | 26 | 0 | 36.438026428222656 | 904568.4526944585
2.2 | 27 | 0 | 36.438026428222656 | 904568.4693558335
2.2 | 28 | 0 | 36.438026428222656 | 904568.4860172085
2.2 | 29 | 0 | 36.438026428222656 | 904568.5026785835
2.2 | 30 | 0 | 36.438026428222656 | 904568.5193399586
2.2 | 31 | 0 | 36.438026428222656 | 904568.5360013335
2.2 | 32 | 0 | 36.438026428222656 | 904568.5526627086
2.1 | 33 | 0 | 36.438026428222656 | 904568.5693240835
2.1 | 34 | 0 | 36.438026428222656 | 904568.5859854586
2.1 | 35 | 0 | 36.438026428222656 | 904568.6026468335
2.1 | 36 | 0 | 36.438026428222656 | 904568.6193082086
2.1 | 37 | 0 | 36.438026428222656 | 904568.6359695835
2.1 | 38 | 0 | 36.438026428222656 | 904568.6526309586
2.1 | 39 | 0 | 36.438026428222656 | 904568.6692923335
2.1 | 40 | 0 | 36.438026428222656 | 904568.6859537085
2.5 | 41 | 0 | 36.438026428222656 | 904568.7026150835
2.5 | 42 | 0 | 36.438026428222656 | 904568.7192764585
2.5 | 43 | 0 | 36.438026428222656 | 904568.7359378336
2.5 | 44 | 0 | 36.438026428222656 | 904568.7525992085
2.5 | 45 | 0 | 36.438026428222656 | 904568.7692605836
2.5 | 46 | 0 | 36.438026428222656 | 904568.7859219585
2.5 | 47 | 0 | 36.438026428222656 | 904568.8025833336
2.5 | 48 | 0 | 36.438026428222656 | 904568.8192447085
2.3000000000000003 | 49 | 0 | 36.438026428222656 | 904568.8359060836
2.3000000000000003 | 50 | 0 | 36.438026428222656 | 904568.8525674585
2.3000000000000003 | 51 | 0 | 36.438026428222656 | 904568.8692288336
2.3000000000000003 | 52 | 0 | 36.438026428222656 | 904568.8858902085
2.3000000000000003 | 53 | 0 | 36.438026428222656 | 904568.9025515835
2.3000000000000003 | 54 | 0 | 36.438026428222656 | 904568.9192129585
2.3000000000000003 | 55 | 0 | 36.438026428222656 | 904568.9358743335
2.4 | 56 | 0 | 36.438026428222656 | 904568.9525357086
2.4 | 57 | 0 | 36.438026428222656 | 904568.9691970835
2.4 | 58 | 0 | 36.438026428222656 | 904568.9858584586
2.4 | 59 | 0 | 36.438026428222656 | 904569.0023887502
2.4 | 60 | 0 | 36.438026428222656 | 904569.0190496251
2.4 | 61 | 0 | 36.438026428222656 | 904569.0357105002
2.4 | 61 | 0 | 36.438026428222656 | 904569.0523713751
2.4 | 61 | 0 | 36.438026428222656 | 904569.0690322502
4.9 | 61 | 0 | 36.438026428222656 | 904569.0856931251
4.9 | 61 | 0 | 36.438026428222656 | 904569.1023540002
4.9 | 61 | 0 | 36.438026428222656 | 904569.1190148751
4.9 | 61 | 0 | 36.438026428222656 | 904569.1356757502
4.9 | 61 | 0 | 36.438026428222656 | 904569.1523366251
4.9 | 61 | 0 | 36.438026428222656 | 904569.1689975002
4.9 | 61 | 0 | 36.438026428222656 | 904569.1856583752
4.9 | 61 | 0 | 36.438026428222656 | 904569.2023192502
14.3 | 61 | 0 | 36.438026428222656 | 904569.2189801252
14.3 | 61 | 0 | 36.438026428222656 | 904569.2356410002
14.3 | 61 | 0 | 36.438026428222656 | 904569.2523018752
14.3 | 61 | 0 | 36.438026428222656 | 904569.2689627502
14.3 | 61 | 0 | 36.438026428222656 | 904569.2856236252
14.3 | 61 | 0 | 36.438026428222656 | 904569.3022845002
14.3 | 61 | 0 | 36.438026428222656 | 904569.3189453752
9.6 | 61 | 0 | 36.438026428222656 | 904569.3356062502
9.6 | 61 | 0 | 36.438026428222656 | 904569.3522671252
9.6 | 61 | 0 | 36.438026428222656 | 904569.3689280002
9.6 | 61 | 0 | 36.438026428222656 | 904569.3855888752
9.6 | 61 | 0 | 36.438026428222656 | 904569.4022497502
9.6 | 61 | 0 | 36.438026428222656 | 904569.4189106252
9.6 | 61 | 0 | 36.438026428222656 | 904569.4355715002
9.6 | 61 | 0 | 36.438026428222656 | 904569.4522323752
7.0 | 61 | 0 | 36.438026428222656 | 904569.4688932502
7.0 | 61 | 0 | 36.438026428222656 | 904569.4855541252
7.0 | 61 | 0 | 36.438026428222656 | 904569.5020785836
7.0 | 61 | 0 | 36.438026428222656 | 904569.5187389585
7.0 | 61 | 0 | 36.438026428222656 | 904569.5353993336
7.0 | 61 | 0 | 36.438026428222656 | 904569.5520597085
7.0 | 61 | 0 | 36.438026428222656 | 904569.5687200836
5.2 | 61 | 0 | 36.438026428222656 | 904569.5853804585
5.2 | 61 | 0 | 39.297401428222656 | 904569.6020408336
5.2 | 61 | 0 | 39.906776428222656 | 904569.6187012085
5.2 | 61 | 0 | 40.000526428222656 | 904569.6353615836
5.2 | 61 | 0 | 40.219276428222656 | 904569.6520219585
5.2 | 61 | 0 | 40.516151428222656 | 904569.6686823335
5.2 | 61 | 0 | 40.891151428222656 | 904569.6853427085
5.2 | 61 | 0 | 41.344276428222656 | 904569.7020030835
40.1 | 61 | 0 | 41.984901428222656 | 904569.7186634585
40.1 | 61 | 0 | 42.484901428222656 | 904569.7353238335
40.1 | 61 | 0 | 39.219276428222656 | 904569.7519842086
40.1 | 61 | 0 | 39.219276428222656 | 904569.7686445835
40.1 | 61 | 0 | 39.219276428222656 | 904569.7853049586
40.1 | 61 | 0 | 39.219276428222656 | 904569.8019653335
40.1 | 61 | 0 | 39.219276428222656 | 904569.8186257086
33.8 | 61 | 0 | 39.219276428222656 | 904569.8352860835
33.8 | 61 | 0 | 36.438026428222656 | 904569.8519464586
33.8 | 61 | 0 | 36.438026428222656 | 904569.8686068335
33.8 | 61 | 0 | 36.438026428222656 | 904569.8852672086
33.8 | 61 | 0 | 36.438026428222656 | 904569.9019275835
33.8 | 61 | 0 | 36.438026428222656 | 904569.9185879586
33.8 | 61 | 0 | 36.438026428222656 | 904569.9352483335
33.8 | 61 | 0 | 36.438026428222656 | 904569.9519087086
21.2 | 61 | 0 | 36.438026428222656 | 904569.9685690835
21.2 | 61 | 0 | 36.438026428222656 | 904569.9852294585
21.2 | 61 | 0 | 36.438026428222656 | 904570.0018898335
21.2 | 61 | 0 | 36.438026428222656 | 904570.0185502085
21.2 | 61 | 0 | 36.438026428222656 | 904570.0352105835
21.2 | 61 | 0 | 36.438026428222656 | 904570.0518709585
21.2 | 61 | 0 | 36.438026428222656 | 904570.0685313336
13.300000000000002 | 61 | 0 | 36.438026428222656 | 904570.0851917085
13.300000000000002 | 61 | 0 | 36.438026428222656 | 904570.1018520836
13.300000000000002 | 61 | 0 | 36.438026428222656 | 904570.1185124585
13.300000000000002 | 61 | 0 | 39.266151428222656 | 904570.1351728336
13.300000000000002 | 61 | 0 | 54.391151428222656 | 904570.1518332085
13.300000000000002 | 61 | 0 | 54.391151428222656 | 904570.1684935836
13.300000000000002 | 61 | 0 | 54.391151428222656 | 904570.1851539585
13.300000000000002 | 61 | 0 | 54.391151428222656 | 904570.2018143336
13.1 | 61 | 0 | 54.391151428222656 | 904570.2184747085
13.1 | 61 | 0 | 54.391151428222656 | 904570.2351350836
13.1 | 61 | 0 | 54.391151428222656 | 904570.2517954585
13.1 | 61 | 0 | 54.391151428222656 | 904570.2684558335
13.1 | 61 | 0 | 54.391151428222656 | 904570.2851162085
13.1 | 61 | 0 | 54.391151428222656 | 904570.3017765835
13.1 | 61 | 0 | 54.391151428222656 | 904570.3184369585
9.1 | 61 | 0 | 54.391151428222656 | 904570.3350973335
9.1 | 61 | 0 | 54.391151428222656 | 904570.3517577086
9.1 | 61 | 0 | 54.391151428222656 | 904570.3684180835
9.1 | 61 | 0 | 54.391151428222656 | 904570.3850784586
9.1 | 61 | 0 | 54.391151428222656 | 904570.4017388335
9.1 | 61 | 0 | 54.391151428222656 | 904570.4183992086
9.1 | 61 | 0 | 54.391151428222656 | 904570.4350595835
9.1 | 61 | 0 | 54.391151428222656 | 904570.4517199586
6.4 | 61 | 0 | 54.391151428222656 | 904570.4683803335
6.4 | 61 | 0 | 54.391151428222656 | 904570.4850407086
6.4 | 61 | 0 | 54.391151428222656 | 904570.5017010835
6.4 | 61 | 0 | 54.391151428222656 | 904570.5183614586
6.4 | 61 | 0 | 54.391151428222656 | 904570.5350218335
6.4 | 61 | 0 | 54.391151428222656 | 904570.5516822085
6.4 | 61 | 0 | 54.391151428222656 | 904570.5683425835
5.0 | 61 | 0 | 54.391151428222656 | 904570.5850029585
5.0 | 61 | 0 | 36.938026428222656 | 904570.6016633335
5.0 | 61 | 0 | 36.938026428222656 | 904570.6183237085
5.0 | 61 | 0 | 36.938026428222656 | 904570.6349840835
5.0 | 61 | 0 | 36.938026428222656 | 904570.6516444585
5.0 | 61 | 0 | 36.938026428222656 | 904570.6683048336
5.0 | 61 | 0 | 36.938026428222656 | 904570.6849652085
5.0 | 61 | 0 | 36.938026428222656 | 904570.7016255836
4.0 | 61 | 0 | 36.938026428222656 | 904570.7182859585
4.0 | 61 | 0 | 36.938026428222656 | 904570.7349463336
4.0 | 61 | 0 | 36.938026428222656 | 904570.7516067085
4.0 | 61 | 0 | 36.938026428222656 | 904570.7682670836
4.0 | 61 | 0 | 36.938026428222656 | 904570.7849274585
4.0 | 61 | 0 | 36.938026428222656 | 904570.8015878336
4.0 | 61 | 0 | 36.938026428222656 | 904570.8182482085
3.0 | 61 | 0 | 36.938026428222656 | 904570.8349085836
3.0 | 61 | 0 | 36.938026428222656 | 904570.8515689585
3.0 | 61 | 0 | 36.938026428222656 | 904570.8682293335
3.0 | 61 | 0 | 36.938026428222656 | 904570.8848897085
3.0 | 61 | 0 | 36.938026428222656 | 904570.9015500835
3.0 | 61 | 0 | 36.938026428222656 | 904570.9182104585
3.0 | 61 | 0 | 36.938026428222656 | 904570.9348708335
3.0 | 61 | 0 | 36.938026428222656 | 904570.9515312086
2.6 | 61 | 0 | 36.938026428222656 | 904570.9681915835
2.6 | 61 | 0 | 36.938026428222656 | 904570.9848519586
2.6 | 61 | 0 | 36.938026428222656 | 904571.0015123335
2.6 | 61 | 0 | 36.938026428222656 | 904571.0181727086
2.6 | 61 | 0 | 36.938026428222656 | 904571.0349657919
2.6 | 61 | 0 | 36.938026428222656 | 904571.0516262086
2.6 | 61 | 0 | 36.938026428222656 | 904571.0682866252
2.5 | 61 | 0 | 36.938026428222656 | 904571.0849470418
2.5 | 61 | 0 | 36.938026428222656 | 904571.1016074585
2.5 | 61 | 0 | 36.938026428222656 | 904571.1182678752
2.5 | 61 | 0 | 36.938026428222656 | 904571.1349282919
2.5 | 61 | 0 | 36.938026428222656 | 904571.1515887085
2.5 | 61 | 0 | 36.938026428222656 | 904571.1682491252
2.5 | 61 | 0 | 36.938026428222656 | 904571.1850780835
2.5 | 61 | 0 | 36.938026428222656 | 904571.2017387085
2.6 | 61 | 0 | 36.938026428222656 | 904571.2183993335
2.6 | 61 | 0 | 36.938026428222656 | 904571.2350599585
2.6 | 61 | 0 | 36.938026428222656 | 904571.2517205835
