0 start | 1744630054.353026
0 end | 1744630054.584599
1 start | 1744630054.58924
1 end | 1744630054.715455
2 start | 1744630054.718144
2 end | 1744630054.867368
3 start | 1744630054.870881
3 end | 1744630055.108269
4 start | 1744630055.12412
4 end | 1744630055.2357779
5 start | 1744630055.238555
5 end | 1744630055.345821
6 start | 1744630055.353693
6 end | 1744630055.5392962
7 start | 1744630055.542366
7 end | 1744630055.818171
8 start | 1744630055.823518
8 end | 1744630055.920598
9 start | 1744630055.9232512
9 end | 1744630056.1591768
10 start | 1744630056.167002
10 end | 1744630056.266162
11 start | 1744630056.269469
11 end | 1744630056.453078
12 start | 1744630056.456728
12 end | 1744630056.6504831
13 start | 1744630056.6544142
13 end | 1744630056.794961
14 start | 1744630056.7982612
14 end | 1744630056.941539
15 start | 1744630056.9451919
15 end | 1744630057.178543
16 start | 1744630057.1857061
16 end | 1744630057.354653
17 start | 1744630057.3572931
17 end | 1744630058.301402
18 start | 1744630058.313295
18 end | 1744630059.0013142
19 start | 1744630059.006926
19 end | 1744630059.267822
20 start | 1744630059.2711968
20 end | 1744630059.462508
21 start | 1744630059.484147
21 end | 1744630059.6135821
22 start | 1744630059.61608
22 end | 1744630059.7772121
23 start | 1744630059.784172
23 end | 1744630059.903672
24 start | 1744630059.907055
24 end | 1744630060.024849
25 start | 1744630060.030853
25 end | 1744630060.1932
26 start | 1744630060.196209
26 end | 1744630060.398551
27 start | 1744630060.404078
27 end | 1744630060.485398
28 start | 1744630060.488369
28 end | 1744630060.7019448
29 start | 1744630060.708441
29 end | 1744630060.8310351
30 start | 1744630060.834032
30 end | 1744630060.935398
31 start | 1744630060.93917
31 end | 1744630061.2130919
32 start | 1744630061.221221
32 end | 1744630061.3381228
33 start | 1744630061.341107
33 end | 1744630061.445883
34 start | 1744630061.448903
34 end | 1744630061.6243181
35 start | 1744630061.627367
35 end | 1744630061.881394
36 start | 1744630061.927597
36 end | 1744630062.018721
37 start | 1744630062.024302
37 end | 1744630062.1666632
38 start | 1744630062.171057
38 end | 1744630062.305684
39 start | 1744630062.31457
39 end | 1744630062.453843
40 start | 1744630062.457058
40 end | 1744630062.6769938
41 start | 1744630062.682551
41 end | 1744630062.779881
42 start | 1744630062.782878
42 end | 1744630062.943913
43 start | 1744630062.9469619
43 end | 1744630063.179678
44 start | 1744630063.183068
44 end | 1744630063.3788218
45 start | 1744630063.383188
45 end | 1744630063.601001
46 start | 1744630063.608062
46 end | 1744630063.720556
47 start | 1744630063.7234612
47 end | 1744630063.951065
48 start | 1744630063.9573212
48 end | 1744630064.078326
49 start | 1744630064.0817409
49 end | 1744630064.266636
50 start | 1744630064.270455
50 end | 1744630064.374072
51 start | 1744630064.3767838
51 end | 1744630064.5807018
52 start | 1744630064.583911
52 end | 1744630064.682702
53 start | 1744630064.685597
53 end | 1744630064.880031
54 start | 1744630064.8839579
54 end | 1744630065.036295
55 start | 1744630065.039185
55 end | 1744630065.251899
56 start | 1744630065.258706
56 end | 1744630065.954618
57 start | 1744630065.9577231
57 end | 1744630066.396169
58 start | 1744630066.405946
58 end | 1744630066.9499202
59 start | 1744630066.9533482
59 end | 1744630067.389662
60 start | 1744630067.405952
60 end | 1744630067.481803
61 start | 1744630067.484716
61 end | 1744630067.6401582
62 start | 1744630067.648292
62 end | 1744630067.78086
63 start | 1744630067.7841449
63 end | 1744630068.0169969
64 start | 1744630068.022357
64 end | 1744630068.143062
65 start | 1744630068.1456242
65 end | 1744630068.2602081
66 start | 1744630068.263177
66 end | 1744630068.440841
67 start | 1744630068.444551
67 end | 1744630068.641985
68 start | 1744630068.646148
68 end | 1744630068.771189
69 start | 1744630068.773905
69 end | 1744630068.927921
70 start | 1744630068.931572
70 end | 1744630069.1547241
71 start | 1744630069.161827
71 end | 1744630069.271949
72 start | 1744630069.274637
72 end | 1744630069.401842
73 start | 1744630069.405237
73 end | 1744630069.6278381
74 start | 1744630069.632536
74 end | 1744630069.815567
75 start | 1744630069.820858
75 end | 1744630070.5861812
76 start | 1744630070.589843
76 end | 1744630070.869302
77 start | 1744630070.8750792
77 end | 1744630071.05212
78 start | 1744630071.055193
78 end | 1744630071.259201
79 start | 1744630071.291163
79 end | 1744630071.3793468
